date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:50	88/88	---MCZ	200	added ('OK')	text/plain	etag:W/%226315ff8b-48%22	https://sedecordlegame.org/robots.txt		(from )
20:07:51	35749/35749	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202025%2018:07:50%20GMT	https://sedecordlegame.org/	D:/httrack/new/wordle-16-again/sedecordlegame.org/index.html	(from )
20:07:52	4076/4076	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Feb%202025%2018:07:51%20GMT	https://sedecordlegame.org/assets/img/favicon.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/favicon.png	(from https://sedecordlegame.org/)
20:07:52	35736/35736	---MCZ	200	added ('OK')	text/css	etag:W/%226312202c-8b98%22	https://sedecordlegame.org/assets/css/main.min.css?v1.65	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/main.min330b.css	(from https://sedecordlegame.org/)
20:07:53	39733/39733	---MCZ	200	added ('OK')	text/css	etag:W/%2263233dd1-9b35%22	https://sedecordlegame.org/assets/css/sedecordlegame.css?v1740506870	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/css/sedecordlegame57d6.css	(from https://sedecordlegame.org/)
20:07:54	8187/8187	---M--	200	added ('OK')	image/png	etag:%226315ea0d-1ffb%22	https://sedecordlegame.org/apple-touch-icon.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/apple-touch-icon.png	(from https://sedecordlegame.org/)
20:07:54	57229/57229	---M--	200	added ('OK')	image/png	etag:%226315e82e-df8d%22	https://sedecordlegame.org/assets/img/sedecordle-game.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/sedecordle-game.png	(from https://sedecordlegame.org/)
20:07:54	1789/1789	---M--	200	added ('OK')	image/png	etag:%226315ea0d-6fd%22	https://sedecordlegame.org/favicon-32x32.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/favicon-32x32.png	(from https://sedecordlegame.org/)
20:07:55	1293/1293	---M--	200	added ('OK')	image/png	etag:%226315ea0d-50d%22	https://sedecordlegame.org/favicon-16x16.png	D:/httrack/new/wordle-16-again/sedecordlegame.org/favicon-16x16.png	(from https://sedecordlegame.org/)
20:07:55	446/446	---M--	200	added ('OK')	text/html	etag:%221be-5e7ed2294dd40%22	https://sedecordlegame.org/site.webmanifest	D:/httrack/new/wordle-16-again/sedecordlegame.org/site.html	(from https://sedecordlegame.org/)
20:07:56	1109/1109	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226315ea0d-455%22	https://sedecordlegame.org/safari-pinned-tab.svg	D:/httrack/new/wordle-16-again/sedecordlegame.org/safari-pinned-tab.svg	(from https://sedecordlegame.org/)
20:07:59	210857/210857	---MCZ	200	added ('OK')	text/javascript	etag:W/%22337a9-FHbkO2JUY2ewb+wCH4dS0MuS2SM%22	https://platform-api.sharethis.com/js/sharethis.js	D:/httrack/new/wordle-16-again/platform-api.sharethis.com/js/sharethis.js	(from https://sedecordlegame.org/)
20:08:00	190090/190090	---M--	200	added ('OK')	text/javascript	etag:4914164264094971466	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7958472158675518	D:/httrack/new/wordle-16-again/pagead2.googlesyndication.com/pagead/js/fdcb4.txt	(from https://sedecordlegame.org/)
20:08:02	1994/1994	---M--	200	added ('OK')	image/png	etag:%226578790e-7ca%22	https://sedecordlegame.org/assets/img/combinations-play.png?v2	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/combinations-play1b26.png	(from https://sedecordlegame.org/)
20:08:02	1975/1975	---M--	200	added ('OK')	image/png	etag:%226304bd82-7b7%22	https://sedecordlegame.org/assets/img/wordlegame-play.png?v2	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/wordlegame-play1b26.png	(from https://sedecordlegame.org/)
20:08:04	3140/3140	---M--	200	added ('OK')	image/png	etag:%226655c24f-c44%22	https://sedecordlegame.org/assets/img/strands-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/strands-play30f4.png	(from https://sedecordlegame.org/)
20:08:05	1764/1764	---M--	200	added ('OK')	image/png	etag:%226304bc6c-6e4%22	https://sedecordlegame.org/assets/img/dordlewordle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/dordlewordle-play30f4.png	(from https://sedecordlegame.org/)
20:08:06	1700/1700	---M--	200	added ('OK')	image/png	etag:%226304bc6d-6a4%22	https://sedecordlegame.org/assets/img/quordlewordle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/quordlewordle-play30f4.png	(from https://sedecordlegame.org/)
20:08:06	1984/1984	---M--	200	added ('OK')	image/png	etag:%226304bc6d-7c0%22	https://sedecordlegame.org/assets/img/octordlewordle-play.png?v=3	D:/httrack/new/wordle-16-again/sedecordlegame.org/assets/img/octordlewordle-play30f4.png	(from https://sedecordlegame.org/)
